,1,2,3,4
KIT_24F_MG1_H1,0,0.234330013,0,0.659094393
KIT_1F_MG1_H2,0,0,0,0
KIT_93F_MG1_H3,0,0.515295565,0,0
KIT_12F_MG1_H4,0,0,0,0
KIT_46F_MG1_H5,0,0.268292695,0,0
KIT_61F_MG1_H6,0,0,0,0
KIT_8F_MG1_H7,0,0,0,0
KIT_90F_MG1_H8,0,0,0,0.042042479
KIT_83F_MG1_H9,0,0,0,0
KIT_9F_MG1_H10,0,0,0,0
KIT_244F_MG1_H11,0,0,0,0
KIT_63F_MG1_H12,0,0.422637641,0,0.801003158
KIT_24N_MG1_G1,0,0,0,0
KIT_1N_MG1_G2,0,0,0.658721566,0
KIT_93N_MG1_G3,0,0.778519511,0,0
KIT_12N_MG1_G4,0,0,0,0
KIT_46N_MG1_G5,0,0,0,0.835113049
KIT_61N_MG1_G6,0,0,0,0
KIT_8N_MG1_G7,0,0,0,0
KIT_90N_MG1_G8,0,0,0,0
KIT_83N_MG1_G9,0,0,0,0
KIT_9N_MG1_G10,0,0,0,0.912280738
KIT_244N_MG1_G11,0,0,0,0
KIT_63N_MG1_G12,0,0.370345265,0,0.719754636
KIT_1K_MG1_F2,0,0,0,0
KIT_93K_MG1_F3,0,1.063162208,0,0.132357344
KIT_12K_MG1_F4,0,0.155844152,0,0
KIT_46K_MG1_F5,0,0,0,0
KIT_61K_MG1_F6,0,0,0,0
KIT_8K_MG1_F7,0,0,0,0
KIT_90K_MG1_F8,0,0,0,0
KIT_83K_MG1_F9,0,0,0,0
KIT_9K_MG1_F10,0,0,0,0.722222209
KIT_244K_MG1_F11,0,0,0,0
KIT_63K_MG1_F12,0,0.401913762,0,0.715813935
KIT_1C_MG1_E2,0,0,0,0.922023594
KIT_93C_MG1_E3,0,0,0,0
KIT_12C_MG1_E4,0,0,0,0
KIT_46C_MG1_E5,0,0,0,0.973694861
KIT_61C_MG1_E6,0,0,0,0
KIT_8C_MG1_E7,0,0,0,0
KIT_90C_MG1_E8,0,0,0,0
KIT_83C_MG1_E9,0,0,0.330248863,0.650949121
KIT_9C_MG1_E10,0,0,0.169358358,0.79769057
KIT_244C_MG1_E11,0,0,0,0
KIT_63C_MG1_E12,0,0.367924303,0.146528289,0.600768924
KIT_3F_MG1_D2,0,0,0,0
KIT_95F_MG1_D3,0,0,0,0
KIT_45F_MG1_D4,0,0,0,0
KIT_94F_MG1_D5,0,0,0,0
KIT_65F_MG1_D6,0,0,0,0
KIT_34F_MG1_D7,0,0,0,0
KIT_92F_MG1_D8,0,0,0,0
KIT_96F_MG1_D9,0,0,0,0
KIT_81F_MG1_D10,0,0,0,0
KIT_236F_MG1_D11,0,0,0,1.004974365
KIT_49F_MG1_D12,0,0,0.161446244,0
KIT_3N_MG1_C2,0,0,0,0
KIT_95N_MG1_C3,0,0,0,0.985747933
KIT_45N_MG1_C4,0,0,0,0
KIT_94N_MG1_C5,0,0,0,0.980205297
KIT_65N_MG1_C6,0,0,0,1.029293133
KIT_34N_MG1_C7,0,0,0,0
KIT_92N_MG1_C8,0,0,0.053435352,0
KIT_96N_MG1_C9,0,0,0,0
KIT_81N_MG1_C10,0,0,0.11429812,0.557701707
KIT_236N_MG1_C11,0,0.009938174,0,0.96389246
KIT_49N_MG1_C12,0,0.236770973,0.195343435,0
KIT_3K_MG1_B2,0,0.407277405,0,0.585015655
KIT_95K_MG1_B3,0,0.366666675,0,0
KIT_45K_MG1_B4,0,0.686274529,0,0
KIT_94K_MG1_B5,0,0,0,0.988636315
KIT_65K_MG1_B6,0,0,0,0
KIT_34K_MG1_B7,0,0,0,0
KIT_92K_MG1_B8,0,0,0,0
KIT_96K_MG1_B9,0,0,0,0
KIT_81K_MG1_B10,0,0.074697219,0,0.78396225
KIT_236K_MG1_B11,0,0,0,0.782131851
KIT_49K_MG1_B12,0,0,0.346105814,0.603047669
KIT_3C_MG1_A2,0,0,0,0.68880111
KIT_95C_MG1_A3,0,0,0,0
KIT_45C_MG1_A4,0,0.636363626,0,0
KIT_94C_MG1_A5,0,0,0,0
KIT_65C_MG1_A6,0,0,0,0.997611701
KIT_34C_MG1_A7,0,0,0.145161778,0
KIT_92C_MG1_A8,0,0,0,0.950816691
KIT_96C_MG1_A9,0,0,0.440799385,0
KIT_81C_MG1_A10,0,0,0.208089635,0.548245609
KIT_236C_MG1_A11,0,0,0.036141563,1.057171464
KIT_49C_MG1_A12,0,0.615388572,0,0.400719196
KIT_63F_MG2_H1,0,0.198182374,0,0
KIT_4F_MG2_H2,0,0,0,0.927272737
KIT_60F_MG2_H3,0,0,0,0
KIT_38F_MG2_H4,0,0,0,0
KIT_21F_MG2_H5,0,0,0,0
KIT_249F_MG2_H6,0,0,0.764715612,0
KIT_41F_MG2_H8,0,0,0,0
KIT_65F_MG2_H9,0,0,0,0
KIT_53F_MG2_H10,0,0,0,0
KIT_13F_MG2_H11,0,0,0,0.468031108
KIT_999F_MG2_H12,0,0.04083541,0,0
KIT_63N_MG2_G1,0,0.386457175,0,0.604374647
KIT_4N_MG2_G2,0,0,0,1.06033361
KIT_60N_MG2_G3,0,0,0,0
KIT_38N_MG2_G4,0,0,0,0.939927936
KIT_21N_MG2_G5,0,0,0,0
KIT_249N_MG2_G6,0,0,0.377328664,0.687435269
KIT_41N_MG2_G8,0,0,0,0
KIT_65N_MG2_G9,0,0,0,0
KIT_53N_MG2_G10,0,0,0,0
KIT_13N_MG2_G11,0.676047206,0,0,0.369796842
KIT_999N_MG2_G12,0,0.541009367,0,0.629253507
KIT_63K_MG2_F1,0,0,0,0.579739332
KIT_4K_MG2_F2,0,0,0,0
KIT_60K_MG2_F3,0,0,0,0
KIT_38K_MG2_F4,0,0,0,0
KIT_21K_MG2_F5,0,0,0,0
KIT_249K_MG2_F6,0,0,0,0
KIT_41K_MG2_F8,0,0.222909108,0,0.401052147
KIT_65K_MG2_F9,0,0,0,0
KIT_53K_MG2_F10,0,0,0,0
KIT_13K_MG2_F11,0,0,0,0
KIT_999K_MG2_F12,0,0,0,0
KIT_63C_MG2_E1,0,0.300018609,0,0.633063793
KIT_4C_MG2_E2,0,0,0,0
KIT_60C_MG2_E3,0,0,0,0
KIT_38C_MG2_E4,0,0,0,0.963636398
KIT_21C_MG2_E5,0,0,0,0
KIT_249C_MG2_E6,0,0,0,0.957957923
KIT_41C_MG2_E8,0,0,0,0
KIT_65C_MG2_E9,0,0,0,0
KIT_53C_MG2_E10,0,0,0,0
KIT_13C_MG2_E11,0,0,0,0.931102455
KIT_999C_MG2_E12,0,0,0,0
KIT_69F_MG2_D1,0,0,0,0.928571463
KIT_20F_MG2_D2,0,0,0,0
KIT_17F_MG2_D3,0,0.28125,0,0
KIT_12F_MG2_D4,0,0,0,0
KIT_250F_MG2_D5,0,0.139718905,0,0.814404964
KIT_240F_MG2_D6,0,0,0,0
KIT_72F_MG2_D8,0,0,0,0
KIT_65F_MG2_D9,0,0,0,0.578674614
KIT_100F_MG2_D10,0,0,0,0
KIT_54F_MG2_D11,0,0,0,0
KIT_998F_MG2_D12,0,0,0,0
KIT_69N_MG2_C1,0,0,0,0
KIT_20N_MG2_C2,0,0,0,0
KIT_17N_MG2_C3,0,0,0,0
KIT_12N_MG2_C4,0,0,0.226939082,0.301727116
KIT_250N_MG2_C5,0,0.478878886,0,0.460419387
KIT_240N_MG2_C6,0,0,0,0
KIT_72N_MG2_C8,0,0.417812705,0,0.640345097
KIT_65N_MG2_C9,0,0,0,0
KIT_100N_MG2_C10,0,0,0,0
KIT_54N_MG2_C11,0,0,0,0
KIT_998N_MG2_C12,0,0.287891835,0,0
KIT_69K_MG2_B1,0,0.348837227,0,0
KIT_20K_MG2_B2,0,0,0,0
KIT_17K_MG2_B3,0,0,0,0
KIT_12K_MG2_B4,0,0,0,0
KIT_250K_MG2_B5,0,0.147435039,0,0
KIT_240K_MG2_B6,0,0,0,0
KIT_228K_MG2_B7,0,0.364565939,0.005986341,0.625190854
KIT_72K_MG2_B8,0,0.380401045,0,0.59836179
KIT_65K_MG2_B9,0,0.775652468,0,0
KIT_100K_MG2_B10,0,0.259259254,0,0
KIT_54K_MG2_B11,0,0,0,0.736842096
KIT_998K_MG2_B12,0,0,0,0
KIT_69C_MG2_A1,0,0,0,0.529411733
KIT_20C_MG2_A2,0,0,0.478815079,0.552093506
KIT_17C_MG2_A3,0,0,0,0
KIT_12C_MG2_A4,0,0,0.039346255,0.92620486
KIT_250C_MG2_A5,0,0.070939198,0,0.896748006
KIT_240C_MG2_A6,0,0.40625,0,0
KIT_228C_MG2_A7,0,0.716436267,0,0.283654571
KIT_72C_MG2_A8,0,0.175528601,0,0.850004673
KIT_65C_MG2_A9,0,0.5,0,0
KIT_100C_MG2_A10,0,0,0,0
KIT_54C_MG2_A11,0,0,0,0
KIT_998C_MG2_A12,0,0,0,0
KIT_246F_MG3_H1,0,0,0,0
KIT_247F_MG3_H2,0,0.153505608,0.293350041,0.389319122
KIT_254F_MG3_H3,0,0,0.26733911,0
KIT_75F_MG3_H4,0,0,0,0.93311733
KIT_233F_MG3_H5,0,0,0,0
KIT_218F_MG3_H6,0,0,0,0.925579548
KIT_24K_MG3_H7,0,0,0,0
KIT_248F_MG3_H8,0,0,0,0.813184261
KIT_BLANK_MG3_H12,0,0,0,0
KIT_246N_MG3_G1,0,0,0,0
KIT_247N_MG3_G2,0.202533618,0.528659284,0,0.376416236
KIT_254N_MG3_G3,0,0,0.366230637,0
KIT_75N_MG3_G4,0,0,0.135256797,0.83165133
KIT_233N_MG3_G5,0,0,0,1
KIT_218N_MG3_G6,0,0,0,0
KIT_24C_MG3_G7,0,0,0,0
KIT_248N_MG3_G8,0,0.14875935,0,0.844932258
KIT_BLANK_MG3_G12,0,0,0,0
KIT_246K_MG3_F1,0,0,0,0.936936259
KIT_247K_MG3_F2,0.101259135,0.120520569,0.400983363,0.352806896
KIT_254K_MG3_F3,0,0,0.277926743,0.627500236
KIT_75K_MG3_F4,0,0,0,0.919755161
KIT_233K_MG3_F5,0,0,0,0
KIT_218K_MG3_F6,0,0,0.100038558,0.735554516
KIT_30K_MG3_F7,0,0,0,0.053990468
KIT_228K_MG3_F8,0,0.225191846,0,0.730122864
KIT_246C_MG3_E1,0,0.649999976,0,0
KIT_247C_MG3_E2,0.052272148,0.62481612,0.019015405,0.272634983
KIT_254C_MG3_E3,0.055408575,0,0.05179622,0.9120965
KIT_75C_MG3_E4,0,0,0,0.991321921
KIT_233C_MG3_E5,0,0,0,0.995343506
KIT_218C_MG3_E6,0,0.090897448,0.211552709,0.757812679
KIT_30C_MG3_E7,0,0.792114079,0,0.191546276
KIT_228C_MG3_E8,0,0.468623072,0.005577451,0.505584776
KIT_BLANK_MG3_E9,0,0,0,0
KIT_213F_MG3_D1,0,0.339437127,0.405332208,0.379874468
KIT_88F_MG3_D2,0,0,0,0.949149489
KIT_79F_MG3_D3,0,0,0,0
KIT_BLANK_D4_MG3_D4,0,0,0,0
KIT_237F_MG3_D5,0,0,0,0.660388291
KIT_76F_MG3_D6,0,0,0,0
KIT_30F_MG3_D7,0,0,0,0
KIT_213N_MG3_C1,0,0.347624183,0.388719052,0.329546034
KIT_88N_MG3_C2,0,0,0,0.990967035
KIT_79N_MG3_C3,0,0,0,0
KIT_BLANK_C4_MG3_C4,0,0,0,0
KIT_237N_MG3_C5,0,0,0,0.981998801
KIT_76N_MG3_C6,0,0,0,0
KIT_30N_MG3_C7,0,1.006659746,0,0
KIT_213K_MG3_B1,0,0.311755925,0.228031978,0.514699042
KIT_88K_MG3_B2,0,0,0,0.987099111
KIT_79K_MG3_B3,0,1.080159068,0,0
KIT_BLANK_B4_MG3_B4,0,0,0,0
KIT_237K_MG3_B5,0,0,0,0.953129828
KIT_76K_MG3_B6,0,0,0,0
KIT_248K_MG3_B7,0,0.170236915,0,0.796322465
KIT_213C_MG3_A1,0.05272292,0.2817761,0,0.633136094
KIT_88C_MG3_A2,0,0,0,0.998771608
KIT_79C_MG3_A3,0,0,0,0
KIT_BLANK_A4_MG3_A4,0,0,0,0
KIT_237C_MG3_A5,0,0,0,0
KIT_76C_MG3_A6,0.060319938,0.017985277,0,0.925839841
KIT_248C_MG3_A7,0,0.448522449,0,0.527533531
KIT_BLANK_MG3_A8,0,0,0,0
KIT_303K_MG4_A1,0,0,0,0
KIT_303N_MG4_B1,0,0,0,0
KIT_303F_MG4_C1,0,0,0,0
KIT_221A_MG4_D1,0,0,0,0
KIT_221C_MG4_E1,0.165710717,0.382600695,0,0.568037629
KIT_221K_MG4_F1,0,0,0,0
KIT_221N_MG4_G1,0,0,0,0
KIT_221F_MG4_H1,0,0,0,0
KIT_21N_MG4_A2,0,0,0,0
KIT_21F_MG4_B2,0,0.024432348,0,0
KIT_69C_MG4_C2,0,0,0,0
KIT_69K_MG4_D2,0,0,0,0
KIT_69N_MG4_E2,0,0,0,0
KIT_69F_MG4_F2,0,0,0,0
KIT_303A_MG4_G2,0,0.022743287,0,0
KIT_303C_MG4_H2,0,0,0,0
KIT_53C_MG4_A3,0,0,0,0
KIT_53K_MG4_B3,0,0,0,0
KIT_53N_MG4_C3,0,0,0,0
KIT_53F_MG4_D3,0,0.006298824,0,0
KIT_72C_MG4_E3,0,0,0,0.959694028
KIT_72K_MG4_F3,0,0,0,0
KIT_72N_MG4_G3,0,0,0,0.840073884
KIT_72F_MG4_H3,0,0,0,0
KIT_79C_MG4_A4,0,0,0,0
KIT_79K_MG4_B4,0,0,0,0
KIT_79N_MG4_C4,0,0,0,0
KIT_79F_MG4_D4,0,0,0,0.026430981
KIT_240C_MG4_E4,0,0,0.011512703,0
KIT_240K_MG4_F4,0,0,0,0.75
KIT_240N_MG4_G4,0,0.021273775,0,0
KIT_240F_MG4_H4,0,0,0.017900772,0
KIT_246C_MG4_A5,0,0,0,0
KIT_246K_MG4_B5,0,0,0,0
KIT_246N_MG4_C5,0,0,0,0
KIT_246F_MG4_D5,0,0.010612002,0,0
KIT_93C_MG4_E5,0,0.95430088,0,0
KIT_93K_MG4_F5,0,0,0,0
KIT_93N_MG4_G5,0,0.849507451,0,0
KIT_93F_MG4_H5,0,0,0,0
KIT_61C_MG4_A6,0,0,0,0
KIT_61K_MG4_B6,0,0.375,0,0.666666687
KIT_61N_MG4_C6,0,0,0,0
KIT_61F_MG4_D6,0,0,0,0
KIT_3C_MG4_E6,0,0,0,0
KIT_3K_MG4_F6,0,0.016509874,0,0
KIT_3N_MG4_G6,0,0.055357698,0,0.555555522
KIT_3F_MG4_H6,0,0.02215061,0,0
KIT_45C_MG4_A7,0,0,0,0
KIT_45K_MG4_B7,0,0,0,0
KIT_45N_MG4_C7,0,0,0,0
KIT_45F_MG4_D7,0,0,0,0
KIT_244C_MG4_E7,0,0,0,0
