ncbi_reference_name,name_genus_species
GCA_002749455.1,Staphylococcus epidermidis
GCA_002749515.1,Staphylococcus epidermidis
GCA_006337185.1,Staphylococcus epidermidis
GCA_006337205.1,Staphylococcus epidermidis
GCA_006337225.1,Staphylococcus epidermidis
GCA_016855885.1,Staphylococcus epidermidis
GCA_016856345.1,Staphylococcus epidermidis
GCA_016859475.1,Staphylococcus epidermidis
GCA_016859495.1,Staphylococcus epidermidis
GCA_016859515.1,Staphylococcus epidermidis
GCA_016859535.1,Staphylococcus epidermidis
GCA_016859555.1,Staphylococcus epidermidis
GCA_016859575.1,Staphylococcus epidermidis
GCA_016859595.1,Staphylococcus epidermidis
GCA_016859615.1,Staphylococcus epidermidis
GCA_016859635.1,Staphylococcus epidermidis
GCA_016859655.1,Staphylococcus epidermidis
GCA_016859675.1,Staphylococcus epidermidis
GCA_016954495.1,Staphylococcus epidermidis
GCF_002749455.1,Staphylococcus epidermidis
GCF_002749515.1,Staphylococcus epidermidis
GCF_003119275.1,Staphylococcus epidermidis
GCF_006337185.1,Staphylococcus epidermidis
GCF_006337205.1,Staphylococcus epidermidis
GCF_006337225.1,Staphylococcus epidermidis
GCF_011306595.1,Staphylococcus epidermidis
GCF_011306775.1,Staphylococcus epidermidis
GCF_011307015.1,Staphylococcus epidermidis
GCF_011307235.1,Staphylococcus epidermidis
GCF_011307475.1,Staphylococcus epidermidis
GCF_011307595.1,Staphylococcus epidermidis
GCF_011307695.1,Staphylococcus epidermidis
GCF_011307715.1,Staphylococcus epidermidis
GCF_016855885.1,Staphylococcus epidermidis
GCF_900086615.1,Staphylococcus epidermidis
GCA_004291115.2,Staphylococcus saccharolyticus
GCA_004291175.2,Staphylococcus saccharolyticus
GCA_016127715.1,Staphylococcus saccharolyticus
GCF_004291115.2,Staphylococcus saccharolyticus
GCF_004291175.2,Staphylococcus saccharolyticus
GCF_016127715.1,Staphylococcus saccharolyticus
GCA_002356175.1,Staphylococcus capitis
GCA_002591175.1,Staphylococcus capitis
GCA_013267675.1,Staphylococcus capitis
GCA_015243435.1,Staphylococcus capitis
GCF_001028645.1,Staphylococcus capitis
GCF_002356175.1,Staphylococcus capitis
GCF_002591175.1,Staphylococcus capitis
GCF_013267675.1,Staphylococcus capitis
GCF_015243435.1,Staphylococcus capitis
GCF_020883475.1,Staphylococcus capitis
GCF_000008345.1,Cutibacterium acnes
GCF_000025765.1,Cutibacterium acnes
GCF_000213155.1,Cutibacterium acnes
GCF_000217615.1,Cutibacterium acnes
GCF_000231215.1,Cutibacterium acnes
GCF_000240015.1,Cutibacterium acnes
GCF_000240035.1,Cutibacterium acnes
GCF_000240055.1,Cutibacterium acnes
GCF_000302515.1,Cutibacterium acnes
GCF_000376705.1,Cutibacterium acnes
GCF_000709495.1,Cutibacterium acnes
GCF_001281065.1,Cutibacterium acnes
GCF_001469565.1,Cutibacterium acnes
GCF_001469595.1,Cutibacterium acnes
GCF_001469615.1,Cutibacterium acnes
GCF_001469655.1,Cutibacterium acnes
GCF_003030305.1,Cutibacterium acnes
GCF_003390995.1,Cutibacterium acnes
GCF_003798465.1,Cutibacterium acnes
GCF_003812785.1,Cutibacterium acnes
GCF_004136195.1,Cutibacterium acnes
GCF_004136215.1,Cutibacterium acnes
GCF_006739385.1,Cutibacterium acnes
GCF_008728435.1,Cutibacterium acnes
GCF_009177305.1,Cutibacterium acnes
GCF_011399315.1,Cutibacterium acnes
GCF_011399455.1,Cutibacterium acnes
GCF_020181495.1,Cutibacterium acnes